x,y,interannual_variability,water_stress,pop_density_log,population_density_km2,cropland_percent,irrigated_percent,landcover_diversity,grazing_intensity_log,livestock_density_km2,soc_0_30cm_kg_m2,soc_0_30cm_t_ha,governance_perc_rank,road_density_log,shdi_2022,mean_annual_precipitation,aridity_index
-9.75,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9.25,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8.75,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8.25,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7.75,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7.25,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6.75,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6.25,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.75,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.25,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.75,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.25,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.75,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.25,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.75,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.25,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.75,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.25,44.75,NA,NA,4.9249183559477,136.678100585938,4.93124686181545,0.0316105579258874,0.33207893371582,NA,NA,6.26331853866577,62.6331853866577,NA,7.07996361323882,NA,943.666687011719,NA
-0.75,44.75,1.55989825725555,0,6.05991313190731,427.338226318359,15.4446423053741,0.0468208629172295,0.491557985544205,2.05580891199473,6.81315547227859,5.77516222000122,57.7516222000122,79.9921722412109,7.38199621028439,0.907000005245209,914.333312988281,0.876599669456482
-0.25,44.75,1.55989825725555,0,5.05719897665771,156.149719238281,75.4238069057465,0,0.57851505279541,2.39228943776824,9.93850833177567,5.14076328277588,51.4076328277588,79.9921722412109,7.11682427016111,0.907000005245209,913.777770996094,0.87268990278244
0.25,44.75,1.55989825725555,0,4.19355361273624,65.2578277587891,77.2044479846954,0,0.585008919239044,3.1801270736876,23.0498094558716,5.19966793060303,51.9966793060303,79.9921722412109,6.61643051225987,0.907000005245209,951.333312988281,0.889943599700928
0.75,44.75,1.79180932044983,1.79837560653687,3.64681934075167,37.3524856567383,55.522233247757,0,0.480943143367767,3.59666702243234,35.4764564037323,5.62789583206177,56.2789583206177,79.9921722412109,6.47961066886072,0.907000005245209,970.333312988281,0.883418917655945
1.25,44.75,1.79180932044983,1.79837560653687,3.70442120004069,39.6265258789062,21.6257095336914,0,0.511226177215576,3.98782750709814,52.9375829696655,5.75301027297974,57.5301027297974,79.9921722412109,6.46649853265481,0.907000005245209,898.666687011719,0.819056749343872
1.75,44.75,1.79180932044983,1.79837560653687,3.47146990923251,31.1840152740479,14.1851857304573,0,0.611414849758148,4.67788622930106,106.542511940002,5.96466445922852,59.6466445922852,79.9921722412109,6.38915629569181,0.910000026226044,825.222229003906,0.750072062015533
2.25,44.75,1.48520362377167,0,4.0080871012948,54.0414810180664,14.4542500376701,0,0.658611357212067,5.07999291169428,159.772916316986,6.4700174331665,64.700174331665,79.9921722412109,6.40844492704826,0.888999998569489,786,0.722959816455841
2.75,44.75,1.48520362377167,0,2.94249631599038,17.9631252288818,3.48136648535728,0,0.575525939464569,5.01705473486912,149.966013431549,7.47706413269043,74.7706413269043,79.9921722412109,6.27555263689072,0.910000026226044,825.333312988281,0.786047339439392
3.25,44.75,1.48520362377167,0,3.08947572694398,20.9655590057373,5.82581460475922,0,0.592902600765228,4.59300092665574,97.7904486656189,8.13418865203857,81.3418865203857,79.9921722412109,6.37067866956917,0.89300000667572,953.777770996094,0.940873026847839
3.75,44.75,1.36867606639862,2.12908840179443,2.91900675460709,17.5228805541992,3.66232171654701,0,0.549192130565643,4.25887590575383,69.7304310798645,8.44755840301514,84.4755840301514,79.9921722412109,6.31040876959919,0.89300000667572,1047.11108398438,1.05581176280975
4.25,44.75,1.535200715065,0,3.72207450640485,40.3500862121582,6.11444115638733,0.0123586476547644,0.530730009078979,3.66798625748292,38.1729421615601,7.72948360443115,77.2948360443115,79.9921722412109,6.48662040084756,0.922999978065491,1008.55554199219,0.903403401374817
4.75,44.75,1.535200715065,0,5.08025569488248,159.815170288086,43.3956354856491,0,0.651887476444244,3.32334467342521,26.7530202865601,5.83604526519775,58.3604526519775,79.9921722412109,6.82373989779297,0.922999978065491,928.555541992188,0.759700536727905
5.25,44.75,1.535200715065,0,3.37830681592855,28.3210830688477,28.0000001192093,0,0.494371771812439,3.29224552778567,25.9032077789307,6.91917943954468,69.1917943954468,79.9921722412109,6.43492363122148,0.922999978065491,1063.22216796875,0.892105102539062
5.75,44.75,1.58996903896332,1.32741379737854,3.09029154311109,20.9834861755371,13.4832158684731,0,0.577048182487488,3.74383209802391,41.2596232891083,7.38631010055542,73.8631010055542,79.9921722412109,6.196370037569,0.922999978065491,1184.22216796875,1.03822553157806
6.25,44.75,1.58996903896332,1.32741379737854,3.63419225305586,36.8712501525879,11.6866543889046,0,0.687365829944611,3.71895995139105,40.2214994430542,6.89179801940918,68.9179801940918,79.9921722412109,5.95110291235501,0.912000000476837,1240.55554199219,1.21802341938019
6.75,44.75,2.00337147712708,1.79776954650879,2.91313141901202,17.4143714904785,0.277820648625493,0,0.532559812068939,3.31909521069665,26.6353350877762,6.62164068222046,66.2164068222046,79.9921722412109,5.56209840317422,0.912000000476837,1188.77783203125,1.24440276622772
7.25,44.75,1.98291909694672,2.72753691673279,4.64124675909793,102.673522949219,24.438887834549,0.00617455443716608,0.611520051956177,4.38292394646487,79.0718171596527,6.05918073654175,60.5918073654175,70.4018936157227,6.24602135992994,0.912000000476837,947.888916015625,0.908347427845001
7.75,44.75,1.98291909694672,2.72753691673279,5.36183209508912,212.115036010742,77.3011267185211,0.0927873305045068,0.472794681787491,4.93581009060856,138.185850024223,3.99611258506775,39.9611258506775,70.4018936157227,6.88111542109265,0.912000000476837,691.555541992188,0.604472637176514
8.25,44.75,2.61020636558533,2.6714334487915,4.9501346168282,140.193969726562,53.4526944160461,0,0.730176687240601,3.46042911815002,30.830632686615,4.85317802429199,48.5317802429199,70.4018936157227,6.97178803411909,0.912000000476837,689.666687011719,0.637784361839294
8.75,44.75,2.61020636558533,2.6714334487915,5.0796917350687,159.724502563477,53.5749554634094,0,0.628372490406036,2.81602117050392,15.7102310657501,5.81031847000122,58.1031847000122,70.4018936157227,7.00973484151307,0.912000000476837,934.777770996094,0.888402760028839
9.25,44.75,1.72878646850586,0.508531749248505,3.71897672438791,40.2221908569336,23.2840344309807,0,0.563688397407532,2.29305076167876,8.90510976314545,7.68258762359619,76.8258762359619,70.4018936157227,6.79376572105004,0.926999986171722,1256.44445800781,1.22478640079498
9.75,44.75,1.7769980430603,0,4.18621885529587,64.7736206054688,36.9725584983826,0.0524739967659116,0.561517715454102,3.33644543510886,27.1189980506897,6.65542984008789,66.5542984008789,70.4018936157227,6.82110267995354,0.935000002384186,1087.33337402344,1.13051331043243
10.25,44.75,1.7769980430603,0,5.4246090901241,225.922622680664,67.8140997886658,0.0247869873419404,0.476144373416901,4.1856084251844,64.7334826588631,5.60519027709961,56.0519027709961,70.4018936157227,7.26425382796966,0.935000002384186,892.888916015625,0.904346823692322
